"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"The Phantom of the Opera","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",62,"419416","792718","","2026-08-00","",""
"Ra: The Dice Game","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",92,"35503","767121","","2026-09-00","",""
"Rheinländer","Standalone","For Sale","USD",50,"N/A","N/A","25th Century Games","2219","N/A","N/A",70,"111","782540","","2026-10-00","",""
"Button Kingdoms","Standalone","Demo","N/A","N/A","N/A","N/A","Around the Stump Games LLC","Booth #1907","N/A","N/A",19,"411932","698202","","0000-00-00","Q2 2026",""
"Class of '89","Standalone","Demo","N/A","N/A","N/A","N/A","Paverson Games","1755","N/A","N/A",181,"442093","751816","","2026-00-00","Q3 2026",""
"Take a Seat","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",104,"352485","741036","","2026-03-18","",""
"The Battle of Versailles","Standalone","For Sale","USD",35,"N/A","N/A","25th Century Games","2219","N/A","N/A",83,"379959","740474","","2026-03-18","",""
"Boss Monster Junior","Standalone","Demo","USD",24.99,"N/A","N/A","Brotherwise Games","339","N/A","N/A",16,"448286","762088","","0000-00-00","Q3 2026",""
"Super Boss Monster II: The Die is Cast","Standalone","Demo","USD",39.99,"N/A","N/A","Brotherwise Games","339","N/A","N/A",28,"448284","762086","","2026-10-00","",""
"Mistborn: The Deckbuilding Game","Standalone","For Sale","USD",49.99,"USD",45,"Brotherwise Games","339","N/A","N/A",93,"422780","717189","","2024-11-00","",""
"Everdell Emerland","Standalone","For Sale","USD",100,"USD",79,"Tycoon Games","1819","N/A","N/A",98,"455843","775950","","2026-04-00","",""
"Wizerds, Warriors, and Werewolves","Standalone","Demo","USD",25,"N/A","N/A","Tycoon Games","Event Hall","N/A","N/A",4,"468574","797770","TYC3450EN","0000-00-00","",""
"Blood Rage: Valhalla","Standalone","For Sale","USD",125,"USD",100,"Tycoon Games","1819","N/A","N/A",45,"449472","764244","","2026-07-00","",""
"Tiny Epic Invincible","Standalone","Demo","N/A","N/A","N/A","N/A","Tycoon Games","Event Hall","N/A","N/A",11,"463329","788559","","0000-00-00","",""
"Everdell Journeys","Standalone","Demo","USD",50,"N/A","N/A","Tycoon Games","Event Hall","N/A","N/A",66,"468395","797499","","0000-00-00","",""
"Tiny Epic Dungeons Adventures","Standalone","Demo","USD",45,"N/A","N/A","Gamelyn Games","Event Hall","N/A","N/A",41,"439586","747148","","2026-01-00","",""
"Green Team Wins Again","Standalone","For Sale","USD",25,"N/A","N/A","25th Century Games","2219","N/A","N/A",61,"469975","800079","","2026-06-10","",""
"Bullseye","Standalone","For Sale","USD",25,"N/A","N/A","25th Century Games","2219","N/A","N/A",30,"423989","719378","","2026-02-18","",""
"The First Tsar: Ivan the Terrible","Standalone","For Sale","USD",50,"N/A","N/A","25th Century Games","2219","N/A","N/A",57,"409553","738970","","2026-04-01","",""
"Shards of Creation","Standalone","For Sale","USD",24.99,"N/A","N/A","Brotherwise Games","Booth 339 and Room 133","N/A","N/A",72,"451772","768510","","2026-00-00","",""
"Cup the Crab","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",62,"437879","788146","","2026-07-00","",""
"Yeti Snack!","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",17,"423231","792712","","2026-07-00","",""
"Satchel Quest","Standalone","Demo","N/A","N/A","N/A","N/A","Weird City Games","2661","N/A","N/A",86,"359842","605400","","2026-10-00","",""
"Distilled: Cocktails","Expansion","For Sale","USD",60,"USD",60,"Paverson Games","1755","N/A","N/A",91,"431123","731990","","2026-08-00","",""
"Star Gazers","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","2219","N/A","N/A",47,"421484","714742","","2026-09-00","",""
"Observatory","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",74,"361603","610466","","2026-09-00","",""
"Power Vacuum","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",54,"402106","792714","","2026-09-00","",""
"The Six of VIII","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",74,"394691","771832","","2026-10-00","",""
"Pulitzer","Standalone","For Sale","USD",60,"N/A","N/A","25th Century Games","2219","N/A","N/A",54,"428231","792716","","2026-09-00","",""
"Orbita","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",55,"452324","792717","","2026-08-00","",""
"Three Sisters: Harvest Edition","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","2219","N/A","N/A",169,"436127","740465","","2026-05-00","",""
"March of the Ants: Evolved Edition","Standalone","For Sale","USD",60,"USD",55,"Weird City Games","USA","N/A","N/A",66,"416079","704682","","2025-11-00","",""
"Intent to Kill","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","2219","N/A","N/A",52,"409572","738969","","2026-03-04","",""
"Lionwake","Standalone","Demo","N/A","N/A","N/A","N/A","NUWA Board Games","#2338","N/A","N/A",64,"456018","776237","","0000-00-00","Q3, 2027",""
"Intent to Kill: Upgrade Pack","Expansion","For Sale","USD",25,"N/A","N/A","25th Century Games","2219","N/A","N/A",30,"448570","762591","","2026-03-00","",""
