"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Pirates of the High Teas","Standalone","For Sale","USD",45,"N/A","N/A","Pink Hawk Games","","N/A","N/A",36,"421974","715759","","2026-03-00","",""
"Super Chonk","Standalone","Demo","N/A","N/A","N/A","N/A","Pink Hawk Games","","N/A","N/A",13,"459817","782964","","0000-00-00","",""
"Good Kitties","Standalone","Demo","N/A","N/A","N/A","N/A","Pink Hawk Games","","N/A","N/A",18,"460093","783404","","2027-06-01","",""
"Lemonade Wars","Standalone","For Sale","USD",30,"N/A","N/A","Sophisticated Cerberus Games, LLC","Booth 1934","N/A","N/A",6,"463075","788149","","2026-06-18","",""
"Vines and Flowers: Blooming Harmony","Standalone","For Sale","USD",39.99,"USD",39.99,"Whales Entertainment","HALL G booth #2939","N/A","N/A",10,"424745","720642","","2026-06-17","",""
"Werewolf: Duel!","Standalone","For Sale","USD",9.99,"N/A","N/A","Whales Entertainment","HALL G booth #2939","N/A","N/A",2,"436306","740725","","2025-12-00","",""
"Escape from the Silken Web","Standalone","For Sale","N/A","N/A","N/A","N/A","Whales Entertainment","HALL G booth #2939","N/A","N/A",3,"468791","798165","WEG10000","2026-00-00","",""
"Clandestine","Standalone","For Sale","USD",129,"N/A","N/A","Brookspun Games","","N/A","N/A",29,"367199","624525","","2026-00-00","",""
"Size Wise","Standalone","For Sale","USD",20,"N/A","N/A","GameHead","","N/A","N/A",22,"457019","777945","","0000-00-00","Q2 2026",""
"Friendly Fishing","Standalone","For Sale","USD",20,"N/A","N/A","GameHead","","N/A","N/A",40,"457008","777929","","2026-07-00","",""
"Everdell Emerland","Standalone","For Sale","USD",100,"USD",79,"Tycoon Games","","N/A","N/A",39,"455843","775950","","2026-04-00","",""
"Wizerds, Warriors, and Werewolves","Standalone","Demo","USD",25,"N/A","N/A","Tycoon Games","Event Hall","N/A","N/A",2,"468574","797770","TYC3450EN","0000-00-00","",""
"Blood Rage: Valhalla","Standalone","For Sale","USD",125,"USD",100,"Tycoon Games","","N/A","N/A",14,"449472","764244","","2026-07-00","",""
"Tiny Epic Invincible","Standalone","Demo","N/A","N/A","N/A","N/A","Tycoon Games","Event Hall","N/A","N/A",3,"463329","788559","","0000-00-00","",""
"Everdell Journeys","Standalone","Demo","USD",50,"N/A","N/A","Tycoon Games","Event Hall","N/A","N/A",26,"468395","797499","","0000-00-00","",""
"Tiny Epic Dungeons Adventures","Standalone","Demo","USD",45,"N/A","N/A","Gamelyn Games","Event Hall","N/A","N/A",17,"439586","747148","","2026-01-00","",""
"Green Team Wins Again","Standalone","For Sale","USD",25,"N/A","N/A","25th Century Games","2219","N/A","N/A",26,"469975","800079","","2026-06-10","",""
"Bullseye","Standalone","For Sale","USD",25,"N/A","N/A","25th Century Games","2219","N/A","N/A",14,"423989","719378","","2026-02-18","",""
"The First Tsar: Ivan the Terrible","Standalone","For Sale","USD",50,"N/A","N/A","25th Century Games","2219","N/A","N/A",25,"409553","738970","","2026-04-01","",""
"Shards of Creation","Standalone","For Sale","USD",24.99,"N/A","N/A","Brotherwise Games","Booth 339 and Room 133","N/A","N/A",25,"451772","768510","","2026-00-00","",""
"Cup the Crab","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",26,"437879","788146","","2026-07-00","",""
"Yeti Snack!","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",5,"423231","792712","","2026-07-00","",""
"Satchel Quest","Standalone","Demo","N/A","N/A","N/A","N/A","Weird City Games","","N/A","N/A",39,"359842","605400","","2026-10-00","",""
"Distilled: Cocktails","Expansion","For Sale","USD",60,"USD",60,"Paverson Games","","N/A","N/A",34,"431123","731990","","2026-08-00","",""
"Star Gazers","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","2219","N/A","N/A",26,"421484","714742","","2026-09-00","",""
"Observatory","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",31,"361603","610466","","2026-09-00","",""
"Power Vacuum","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","2219","N/A","N/A",24,"402106","792714","","2026-09-00","",""
"The Six of VIII","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",39,"394691","771832","","2026-10-00","",""
"Pulitzer","Standalone","For Sale","USD",60,"N/A","N/A","25th Century Games","2219","N/A","N/A",23,"428231","792716","","2026-09-00","",""
"Orbita","Standalone","For Sale","USD",15,"N/A","N/A","25th Century Games","2219","N/A","N/A",24,"452324","792717","","2026-08-00","",""
"Three Sisters: Harvest Edition","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","2219","N/A","N/A",69,"436127","740465","","2026-05-00","",""
